			
Legal Term	Meaning (English)	Meaning (Hindi)	Usage in Sentence
Knowingly 	With full awareness or intention 	जानबूझकर 	The defendant was found guilty of knowingly engaging in fraudulent activities.
Knowledge 	Awareness or understanding of facts, law, or a situation 	जानकारी 	The defendant claimed to have no knowledge of the illegal activities being conducted by his associates.
Landlord 	A person who owns property and rents it to a tenant 	मकान मालिक 	The landlord filed a case against the tenant for failing to pay rent on time.
Lawsuit 	A legal action brought by one party against another 	मुकदमा 	The company faced a lawsuit over allegations of environmental damage.
Legal Heir 	A person legally entitled to inherit the property of a deceased person 	कानूनी उत्तराधिकारी 	The court recognized him as the legal heir to his father’s estate.
Magistrate 	A judicial officer who handles minor legal cases and preliminary hearings 	मजिस्ट्रेट 	The magistrate granted bail to the accused after the preliminary hearing.
Maintenance 	Financial support given by one person to another, typically after a divorce or separation 	भरण-पोषण 	The court ordered the husband to pay monthly maintenance to his ex-wife after their divorce.
Malfeasance 	Wrongdoing or misconduct, especially by a public official 	दुराचार 	The politician was accused of malfeasance for misusing public funds for personal gain.
Natural Justice 	Legal philosophy ensuring fairness, equality, and impartiality in decision-making 	प्राकृतिक न्याय 	The court upheld the principles of natural justice by allowing both parties to present their case.
Notary 	A public official authorized to authenticate legal documents and administer oaths 	नोटरी 	The agreement was signed in the presence of a notary to ensure its legal validity.
Negligence 	Failure to exercise the care that a reasonably prudent person would exercise in similar circumstances 	लापरवाही 	The doctor was sued for negligence after failing to diagnose the patient’s illness in time.
Oath 	A solemn promise, often invoking a divine witness, regarding one’s future actions or behavior 	शपथ 	The witness took an oath to tell the truth before testifying in court.
Objection 	A formal protest raised during a trial or hearing regarding the admissibility of evidence or testimony 	आपत्ति 	The defense attorney raised an objection to the prosecutor’s line of questioning.
Offender 	A person who has committed a crime or illegal act 	अपराधी 	The offender was sentenced to five years in prison for theft.
Plaintiff 	A person who brings a legal action or lawsuit against another party 	वादी 	The plaintiff filed a suit for damages after the contract was breached.
Prosecution 	The legal party responsible for presenting a case against an individual accused of a crime 	अभियोजन 	The prosecution provided substantial evidence to prove the guilt of the accused.
Precedent 	A legal decision that serves as an example or rule for future cases 	उदाहरण, पूर्वनिर्णय 	The court’s decision followed the legal precedent established by previous rulings.
Quash 	To reject or void a legal decision, order, or indictment 	रद्द करना 	The court decided to quash the charges against the defendant due to lack of evidence.
Quantum Meruit 	A Latin term meaning “as much as he deserves,” referring to the reasonable value of services rendered 	जितना योग्य है 	The contractor was entitled to payment based on quantum meruit for the work completed before the contract was terminated.
Quasi-Judicial 	A body or authority having powers and procedures resembling those of a court of law 	अर्ध-न्यायिक 	The regulatory commission acted as a quasi-judicial body in resolving the dispute.
Remand 	To send a case or an accused person back to a lower court or into custody for further investigation 	रिमांड 	The judge remanded the accused to police custody for further questioning.
Rebuttal 	A counterargument or evidence presented to contradict or disprove something 	खंडन 	The defense presented a strong rebuttal to challenge the prosecution’s claims.
Restitution 	Compensation or return of something to its rightful owner, or restoring a party to its original position 	पुनःस्थापन 	The court ordered restitution to the victims of the fraud, ensuring they received their money back.
Summons 	A legal document issued by a court requiring someone to appear in court 	समन 	The defendant received a summons to appear in court for the hearing.
Subpoena 	A legal order requiring a person to testify or produce evidence in court 	न्यायालयीन आदेश 	The witness was served with a subpoena to testify at the trial.
Settlement 	An agreement reached between parties to resolve a legal dispute without going to trial 	समझौता 	The parties reached a settlement before the case went to trial, avoiding lengthy litigation.
Tort 	A civil wrong causing harm or loss for which a remedy may be sought in court 	अपकर्म 	The plaintiff filed a tort claim for damages caused by the defendant’s negligence.
Testamentary 	Relating to a will or the distribution of assets after death 	वसीयतनामा संबंधी 	The court upheld the testamentary trust created by the deceased’s will.
Testimony 	A formal statement given by a witness under oath in court 	साक्ष्य 	The witness’s testimony played a crucial role in the conviction of the accused.
Ultra Vires 	Acts beyond the legal authority or power of a person or institution 	विधि-अधिकार से परे 	The court ruled that the company’s actions were ultra vires, as they exceeded the powers granted by the articles of incorporation.
Undue Influence 	Excessive pressure or manipulation exerted on someone to act against their free will 	अनुचित प्रभाव 	The plaintiff argued that the contract was signed under undue influence and was therefore invalid.
Unlawful Detention 	The act of holding someone without legal authority or justification 	अवैध हिरासत 	The accused filed a petition for release, claiming unlawful detention by the police.
Verdict 	The formal decision or finding made by a jury or judge in a legal case 	निर्णय 	The jury delivered a guilty verdict after deliberating for several hours.
Vicarious Liability 	Legal responsibility imposed on one person for the actions of another, typically an employer for the acts of an employee 	प्रतिनियुक्त उत्तरदायित्व 	The company was held vicariously liable for the actions of its employee during the course of his duties.
Void 	Having no legal effect or validity; null 	अमान्य 	The contract was declared void due to the lack of mutual consent between the parties.
Warrant 	A legal document authorizing law enforcement to carry out an action such as an arrest or search 	वारंट 	The police executed an arrest warrant for the suspect involved in the robbery.
Waiver 	The voluntary relinquishment or abandonment of a legal right or claim 	अधिकार-त्याग 	The tenant signed a waiver, giving up their right to demand repairs from the landlord.
Will 	A legal document in which a person declares how their assets will be distributed after death 	वसीयत 	The deceased left a will, distributing his property among his children.
Xerox 	A trademarked term that has become synonymous with photocopying, often used in legal cases to refer to copies of documents 	ज़ेरॉक्स (फोटोकॉपी) 	The lawyer asked for xerox copies of all the evidence to be submitted to the court.
Xenophobia 	A fear or hatred of foreigners, often referenced in human rights and discrimination cases 	विदेशियों का भय या घृणा 	The court addressed the issue of xenophobia in the workplace, ordering the company to implement anti-discrimination policies.
X Clause 	A placeholder term sometimes used in contracts to represent a term or condition that will be defined later 	अज्ञात धारा 	The agreement included an X clause, which the parties agreed to finalize before the project’s commencement.
Year and a Day Rule 	A common law rule that states a person cannot be charged with homicide if the victim dies more than a year and a day after the act that caused the injury 	एक वर्ष और एक दिन नियम 	Under the year and a day rule, the suspect could not be charged with murder because the victim passed away 15 months later.
Yellow Dog Contract 	A contract in which an employee agrees not to join a labor union as a condition of employment 	पीला कुत्ता अनुबंध 	Yellow dog contracts were once used by employers to prevent workers from organizing unions.
Youth Court 	A specialized court that deals with crimes committed by minors 	किशोर न्यायालय 	The case involving the minor was transferred to the youth court for trial.
Zero Hour 	The time immediately following the start of a legislative session, often used for raising urgent issues without prior notice 	शून्य काल 	The members of parliament raised the issue of environmental pollution during Zero Hour.
Zoning 	The regulation of land use by local authorities to allocate areas for different types of development and land use 	क्षेत्रीकरण 	The city council enforced new zoning laws to separate residential and commercial areas.
Zoning Ordinance 	A law that defines how property in specific geographic zones can be used 	क्षेत्रीकरण अध्यादेश 	The new zoning ordinance prohibits the construction of high-rise buildings in the heritage area.
